data_rilevazione,data_aggiornamento_sito,id_pagina,istituto,posti_regolamentari,posti_non_disponibili,totale_detenuti
2026-07-13,12/07/2026,MII178638,Modena,371,0,578
2026-07-13,12/07/2026,MII178659,Monza,413,26,721
2026-07-13,12/07/2026,MII178666,Napoli Poggioreale,1616,259,2268
2026-07-13,12/07/2026,MII178672,Napoli Secondigliano,1112,12,1534
2026-07-13,12/07/2026,MII178681,Noto,176,16,158
2026-07-13,12/07/2026,MII178700,Novara,156,0,106
2026-07-13,12/07/2026,MII179224,Nuoro,378,104,50
2026-07-13,12/07/2026,MII179237,Opera,918,11,1371
2026-07-13,12/07/2026,MII179274,Oristano,264,5,253
2026-07-13,12/07/2026,MII179280,Orvieto,98,0,117
2026-07-13,12/07/2026,MII179290,Padova,188,8,217
2026-07-13,12/07/2026,MII179299,Padova Nuovo Complesso,432,0,668
2026-07-13,12/07/2026,MII179306,Palermo Pagliarelli,1166,71,1434
2026-07-13,12/07/2026,MII179324,Palermo Ucciardone,569,47,592
2026-07-13,12/07/2026,MII179331,Paliano,153,7,59
2026-07-13,12/07/2026,MII179342,Palmi,141,22,124
2026-07-13,12/07/2026,MII179353,Paola,181,20,234
2026-07-13,12/07/2026,MII179364,Parma,655,31,787
2026-07-13,12/07/2026,MII179733,Voghera,346,1,401
2026-07-13,12/07/2026,MII179781,Perugia,363,56,482
2026-07-13,12/07/2026,MII179818,Pesaro,156,12,258
2026-07-13,12/07/2026,MII179830,Pescara,276,33,394
2026-07-13,12/07/2026,MII179842,Piacenza,414,2,569
2026-07-13,12/07/2026,MII179856,Piazza Armerina,48,0,75
2026-07-13,12/07/2026,MII179876,Volterra,189,1,186
2026-07-13,12/07/2026,MII179896,Pistoia,76,0,92
2026-07-13,12/07/2026,MII179913,Pordenone,37,0,53
2026-07-13,12/07/2026,MII179932,Porto Azzurro,334,0,414
2026-07-13,12/07/2026,MII179938,Potenza,107,0,175
2026-07-13,12/07/2026,MII179945,Pozzuoli,98,98,0
2026-07-13,12/07/2026,MII179958,Prato,589,47,637
2026-07-13,12/07/2026,MII179965,Ragusa,196,13,209
2026-07-13,12/07/2026,MII179981,Ravenna,49,0,88
2026-07-13,12/07/2026,MII179988,Reggio Calabria Arghillà,294,9,370
2026-07-13,12/07/2026,MII179995,Reggio Calabria Giuseppe Panzera,180,19,132
2026-07-13,12/07/2026,MII180001,Rimini,118,0,172
2026-07-13,12/07/2026,MII180356,Roma Rebibbia IIIª casa,172,40,105
2026-07-13,12/07/2026,MII180370,Roma Rebibbia Nuovo Complesso,1171,103,1522
2026-07-13,12/07/2026,MII180380,Roma Rebibbia,445,182,285
2026-07-13,12/07/2026,MII180401,Roma Regina Coeli,619,56,1070
2026-07-13,12/07/2026,MII180415,Rossano,263,1,324
2026-07-13,12/07/2026,MII180424,Rovigo,209,1,269
2026-07-13,12/07/2026,MII180426,Salerno,376,9,570
2026-07-13,12/07/2026,MII180437,Saluzzo,420,8,370
2026-07-13,12/07/2026,MII180451,San Cataldo,135,18,100
2026-07-13,12/07/2026,MII180458,San Gimignano,243,20,335
2026-07-13,12/07/2026,MII180465,Sanremo,223,4,268
2026-07-13,12/07/2026,MII180476,San Severo,61,0,91
2026-07-13,12/07/2026,MII180487,Santa Maria Capua Vetere,826,150,1042
2026-07-13,12/07/2026,MII181079,Sant'Angelo dei Lombardi,124,9,188
2026-07-13,12/07/2026,MII181091,Sassari,458,0,576
2026-07-13,12/07/2026,MII181109,Sciacca,73,53,25
2026-07-13,12/07/2026,MII181115,Siena,58,0,75
2026-07-13,12/07/2026,MII181125,Siracusa,545,0,730
2026-07-13,12/07/2026,MII181346,Sondrio,26,2,36
2026-07-13,12/07/2026,MII181358,Spoleto,456,0,514
2026-07-13,12/07/2026,MII181371,Sulmona,523,0,677
2026-07-13,12/07/2026,MII181377,Taranto,500,70,858
2026-07-13,12/07/2026,MII181385,Tempio Pausania,163,0,173
2026-07-13,12/07/2026,MII181392,Teramo,255,4,455
2026-07-13,12/07/2026,MII181401,Termini Imerese,98,4,114
2026-07-13,12/07/2026,MII181407,Terni,423,0,577
2026-07-13,12/07/2026,MII181417,Tolmezzo,148,0,170
2026-07-13,12/07/2026,MII181424,Torino,1119,23,1518
2026-07-13,12/07/2026,MII181434,Trani,447,150,455
2026-07-13,12/07/2026,MII181440,Trani femminile,32,0,40
2026-07-13,12/07/2026,MII181625,Trapani,555,76,549
2026-07-13,12/07/2026,MII181636,Trento,422,1,428
2026-07-13,12/07/2026,MII181645,Treviso,132,0,221
2026-07-13,12/07/2026,MII181661,Trieste,150,15,244
2026-07-13,12/07/2026,MII181672,Udine,89,5,155
2026-07-13,12/07/2026,MII181678,Bari,293,35,433
2026-07-13,12/07/2026,MII181681,Turi,108,0,183
2026-07-13,12/07/2026,MII181691,Vallo della Lucania,40,0,63
2026-07-13,12/07/2026,MII181703,Varese,53,0,96
2026-07-13,12/07/2026,MII181820,Vasto,197,2,143
2026-07-13,12/07/2026,MII181839,Velletri,412,26,583
2026-07-13,12/07/2026,MII181847,Venezia Giudecca,112,0,102
2026-07-13,12/07/2026,MII181863,Venezia Santa Maria Maggiore,159,0,275
2026-07-13,12/07/2026,MII181870,Verbania,53,0,76
2026-07-13,12/07/2026,MII181880,Vercelli,229,10,356
2026-07-13,12/07/2026,MII181891,Verona,335,8,621
2026-07-13,12/07/2026,MII181908,Vibo Valentia,406,130,313
2026-07-13,12/07/2026,MII181918,Vicenza,276,13,358
2026-07-13,12/07/2026,MII181924,Vigevano,160,11,155
2026-07-13,12/07/2026,MII181934,Viterbo,440,44,675
2026-07-13,12/07/2026,MII182339,Reggio Emilia,292,59,310
2026-07-13,12/07/2026,MII182440,Avezzano,53,0,70
2026-07-13,12/07/2026,MII182910,Pavia,515,0,720
2026-07-13,12/07/2026,MII182919,Pisa,195,10,305
